CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
852;3;1;A;1;0;2814;
852;3;6384;A;3;0;10887;1
852;3;2;A;3;0;7682;1
852;3;10;A;7;0;3472;2
852;3;9;A;7;0;2877;2
852;3;12;A;7;0;3825;2
852;3;11;A;7;0;3546;2
852;3;8;A;7;0;2172;2
852;3;6;A;7;0;1361;2
852;3;4;A;7;0;1256;2
852;3;3;A;7;0;1806;2
852;3;7;A;7;0;1709;2
852;3;18;A;7;0;4245;2
852;3;20;A;7;0;11949;2
852;3;19;A;7;0;11498;2
852;3;22;A;7;0;12302;2
852;3;21;A;7;0;12104;2
852;3;17;A;7;0;10372;2
852;3;14;A;7;0;8658;2
852;3;13;A;7;0;5111;2
852;3;16;A;7;0;10194;2
852;3;15;A;7;0;9374;2
852;3;5;A;7;0;947;2
852;3;2133;A;8;0;11151;16
852;3;1197;A;8;0;11106;16
852;3;1570;A;8;0;11102;16
852;3;1988;A;8;0;11235;16
852;3;2828;A;8;0;11211;16
852;3;687;A;8;0;11159;16
852;3;1251;A;8;0;10937;16
852;3;1964;A;8;0;10913;16
852;3;2476;A;8;0;10909;16
852;3;300;A;8;0;10995;16
852;3;1761;A;8;0;10988;16
852;3;3004;A;8;0;10970;16
852;3;2763;A;8;0;12211;16
852;3;1488;A;8;0;12088;16
852;3;2041;A;8;0;11905;16
852;3;2151;A;8;0;12249;16
852;3;1855;A;8;0;12233;16
852;3;2809;A;8;0;12215;16
852;3;2516;A;8;0;11592;16
852;3;2195;A;8;0;11570;16
852;3;2994;A;8;0;11287;16
852;3;2870;A;8;0;11897;16
852;3;2341;A;8;0;11731;16
852;3;2678;A;8;0;11612;16
852;3;2755;A;8;0;10870;16
852;3;913;A;8;0;10232;16
852;3;1635;A;8;0;10231;16
852;3;1677;A;8;0;10229;16
852;3;1652;A;8;0;10237;16
852;3;1300;A;8;0;10235;16
852;3;2299;A;8;0;10233;16
852;3;1963;A;8;0;10220;16
852;3;1000;A;8;0;10219;16
852;3;2026;A;8;0;10215;16
