CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
852;3;8101;852;3;24890
852;3;24890;852;3;8101
852;3;8097;852;3;26818
852;3;26818;852;3;8097
852;3;8093;852;3;25025
852;3;25025;852;3;8093
852;3;8090;852;3;25014
852;3;25014;852;3;8090
852;3;8086;852;3;24978
852;3;24978;852;3;25217
852;3;25217;852;3;8086
852;3;8082;852;3;8083
852;3;8083;852;3;8082
852;3;8080;852;3;8084
852;3;8084;852;3;8080
852;3;8079;852;3;20523
852;3;20523;852;3;8079
852;3;8076;852;3;20075
852;3;20075;852;3;8076
852;3;8073;852;3;24894
852;3;24894;852;3;8073
852;3;8070;852;3;25439
852;3;25439;852;3;8070
852;3;8067;852;3;25028
852;3;25028;852;3;8067
852;3;8064;852;3;25036
852;3;25036;852;3;8064
852;3;8037;852;3;26822
852;3;26822;852;3;8037
852;3;8034;852;3;24884
852;3;24884;852;3;8034
852;3;8031;852;3;20788
852;3;20788;852;3;8031
852;3;7975;852;3;7977
852;3;7977;852;3;7979
852;3;7979;852;3;7981
852;3;7981;852;3;25476
852;3;25476;852;3;25686
852;3;25686;852;3;7975
852;3;7955;852;3;7957
852;3;7957;852;3;28344
852;3;28344;852;3;28362
852;3;28362;852;3;7955
852;3;7941;852;3;8039
852;3;8039;852;3;8041
852;3;8041;852;3;8043
852;3;8043;852;3;8045
852;3;8045;852;3;7941
852;3;7890;852;3;24397
852;3;24397;852;3;24445
852;3;24445;852;3;7890
852;3;7862;852;3;20447
852;3;20447;852;3;7862
852;3;7855;852;3;24066
852;3;24066;852;3;7855
852;3;7849;852;3;7853
852;3;7853;852;3;7849
852;3;7848;852;3;7856
852;3;7856;852;3;7848
852;3;7845;852;3;7983
852;3;7983;852;3;7985
852;3;7985;852;3;7987
852;3;7987;852;3;7989
852;3;7989;852;3;27367
852;3;27367;852;3;7845
852;3;7843;852;3;7846
852;3;7846;852;3;7843
852;3;7840;852;3;7842
852;3;7842;852;3;7840
852;3;7837;852;3;7847
852;3;7847;852;3;8023
852;3;8023;852;3;8025
852;3;8025;852;3;8027
852;3;8027;852;3;8029
852;3;8029;852;3;7837
852;3;7836;852;3;7866
852;3;7866;852;3;8015
852;3;8015;852;3;8017
852;3;8017;852;3;8019
852;3;8019;852;3;8021
852;3;8021;852;3;7836
852;3;7835;852;3;7839
852;3;7839;852;3;8007
852;3;8007;852;3;8009
852;3;8009;852;3;8011
852;3;8011;852;3;8013
852;3;8013;852;3;7835
852;3;7834;852;3;7999
852;3;7999;852;3;8001
852;3;8001;852;3;8003
852;3;8003;852;3;8005
852;3;8005;852;3;7834
852;3;7833;852;3;7841
852;3;7841;852;3;7991
852;3;7991;852;3;7993
852;3;7993;852;3;7995
852;3;7995;852;3;7997
852;3;7997;852;3;7833
852;3;7831;852;3;7838
852;3;7838;852;3;7831
852;3;7823;852;3;7826
852;3;7826;852;3;7823
852;3;7822;852;3;28104
852;3;28104;852;3;7822
852;3;7821;852;3;26922
852;3;26922;852;3;7821
852;3;7819;852;3;7827
852;3;7827;852;3;7819
852;3;7811;852;3;24664
852;3;24664;852;3;24671
852;3;24671;852;3;7811
852;3;7807;852;3;7967
852;3;7967;852;3;7969
852;3;7969;852;3;7971
852;3;7971;852;3;7973
852;3;7973;852;3;7807
852;3;7806;852;3;23044
852;3;23044;852;3;7806
852;3;7800;852;3;8055
852;3;8055;852;3;8057
852;3;8057;852;3;8059
852;3;8059;852;3;8061
852;3;8061;852;3;7800
852;3;7799;852;3;7803
852;3;7803;852;3;8047
852;3;8047;852;3;8049
