CID;TABCD;LCD;ALLOCATED
852;3;1;1
852;3;2;1
852;3;3;1
852;3;4;1
852;3;5;1
852;3;6;1
852;3;7;1
852;3;8;1
852;3;9;1
852;3;10;1
852;3;11;1
852;3;12;1
852;3;13;1
852;3;14;1
852;3;15;1
852;3;16;1
852;3;17;1
852;3;18;1
852;3;19;1
852;3;20;1
852;3;21;1
852;3;22;1
852;3;23;1
852;3;24;1
852;3;25;1
852;3;26;1
852;3;27;1
852;3;28;1
852;3;29;1
852;3;30;1
852;3;31;1
852;3;32;1
852;3;33;1
852;3;34;1
852;3;35;1
852;3;36;1
852;3;37;1
852;3;38;1
852;3;39;1
852;3;40;1
852;3;41;1
852;3;42;1
852;3;43;1
852;3;44;1
852;3;45;1
852;3;46;1
852;3;47;1
852;3;48;1
852;3;49;1
852;3;50;1
852;3;51;1
852;3;52;1
852;3;53;1
852;3;54;1
852;3;55;1
852;3;56;1
852;3;57;1
852;3;58;1
852;3;59;1
852;3;60;1
852;3;61;1
852;3;62;1
852;3;63;1
852;3;64;1
852;3;65;1
852;3;66;1
852;3;67;1
852;3;68;1
852;3;69;1
852;3;70;1
852;3;71;1
852;3;72;1
852;3;73;1
852;3;74;1
852;3;75;1
852;3;76;1
852;3;77;1
852;3;78;1
852;3;79;1
852;3;80;1
852;3;81;1
852;3;82;1
852;3;83;1
852;3;84;1
852;3;85;1
852;3;86;1
852;3;87;1
852;3;88;1
852;3;89;1
852;3;90;1
852;3;91;1
852;3;92;1
852;3;93;1
852;3;94;1
852;3;95;1
852;3;96;1
852;3;97;1
852;3;98;1
852;3;99;1
852;3;100;1
852;3;101;1
852;3;102;1
852;3;103;1
852;3;104;1
852;3;105;1
852;3;106;1
852;3;107;1
852;3;108;1
852;3;109;1
852;3;110;1
852;3;111;1
852;3;112;1
852;3;113;1
852;3;114;1
852;3;115;1
852;3;116;1
852;3;117;1
852;3;118;1
852;3;119;1
852;3;120;1
852;3;121;1
852;3;122;1
852;3;123;1
852;3;124;1
852;3;125;1
852;3;126;1
852;3;127;1
852;3;128;1
852;3;129;1
852;3;130;1
852;3;131;1
852;3;132;1
852;3;133;1
852;3;134;1
852;3;135;1
852;3;136;1
852;3;137;1
852;3;138;1
852;3;139;1
852;3;140;1
852;3;141;1
852;3;142;1
852;3;143;1
852;3;144;1
852;3;145;1
852;3;146;1
852;3;147;1
852;3;148;1
852;3;149;1
852;3;150;1
852;3;151;1
852;3;152;1
852;3;153;1
852;3;154;1
852;3;155;1
852;3;156;1
852;3;157;1
852;3;158;1
852;3;159;1
852;3;160;1
852;3;161;1
852;3;162;1
852;3;163;1
852;3;164;1
852;3;165;1
852;3;166;1
852;3;167;1
852;3;168;1
852;3;169;1
852;3;170;1
852;3;171;1
852;3;172;1
852;3;173;1
852;3;174;1
852;3;175;1
852;3;176;1
852;3;177;1
852;3;178;1
852;3;179;1
852;3;180;1
852;3;181;1
852;3;182;1
852;3;183;1
852;3;184;1
852;3;185;1
852;3;186;1
852;3;187;1
852;3;188;1
852;3;189;1
852;3;190;1
852;3;191;1
852;3;192;1
852;3;193;1
852;3;194;1
852;3;195;1
852;3;196;1
852;3;197;1
852;3;198;1
852;3;199;1
852;3;200;1
852;3;201;1
852;3;202;1
852;3;203;1
852;3;204;1
852;3;205;1
852;3;206;1
852;3;207;1
852;3;208;1
852;3;209;1
852;3;210;1
852;3;211;1
852;3;212;1
852;3;213;1
852;3;214;1
852;3;215;1
852;3;216;1
852;3;217;1
852;3;218;1
852;3;219;1
852;3;220;1
852;3;221;1
852;3;222;1
852;3;223;1
852;3;224;1
852;3;225;1
852;3;226;1
852;3;227;1
852;3;228;1
852;3;229;1
852;3;230;1
852;3;231;1
852;3;232;1
852;3;233;1
852;3;234;1
852;3;235;1
852;3;236;1
852;3;237;1
852;3;238;1
852;3;239;1
852;3;240;1
852;3;241;1
852;3;242;1
852;3;243;1
852;3;244;1
852;3;245;1
852;3;246;1
852;3;247;1
852;3;248;1
852;3;249;1
852;3;250;1
852;3;251;1
852;3;252;1
852;3;253;1
852;3;254;1
852;3;255;1
852;3;256;1
852;3;257;1
852;3;258;1
852;3;259;1
852;3;260;1
852;3;261;1
852;3;262;1
852;3;263;1
852;3;264;1
852;3;265;1
852;3;266;1
852;3;267;1
852;3;268;1
852;3;269;1
852;3;270;1
852;3;271;1
852;3;272;1
852;3;273;1
852;3;274;1
852;3;275;1
852;3;276;1
852;3;277;1
852;3;278;1
852;3;279;1
852;3;280;1
852;3;281;1
852;3;282;1
852;3;283;1
852;3;284;1
852;3;285;1
852;3;286;1
852;3;287;1
852;3;288;1
852;3;289;1
852;3;290;1
852;3;291;1
852;3;292;1
852;3;293;1
852;3;294;1
852;3;295;1
852;3;296;1
852;3;297;1
852;3;298;1
852;3;299;1
852;3;300;1
852;3;301;1
852;3;302;1
852;3;303;1
852;3;304;1
852;3;305;1
852;3;306;1
852;3;307;1
852;3;308;1
