CID;LID;NID;NAME;NCOMMENT;OFFICIALNAME
852;1;1;1 sz. főút: Győr Fehérvári úti felüljáró - felhajtó Budapest felé;;
852;1;2;1 sz. főút: Győr Fehérvári úti felüljáró - felhajtó Hegyeshalom felé;;
852;1;3;1 sz. főút: Győr Fehérvári úti felüljáró - lehajtó Budapest felől;;
852;1;4;1 sz. főút: Győr Fehérvári úti felüljáró - lehajtó Hegyeshalom felől;;
852;1;5;1. sz. főút;;
852;1;6;10. kijárat;;
852;1;7;10. sz. főút;;
852;1;8;10. sz. főút, Solymár elágazás;;
852;1;9;101. sz. főút;;
852;1;10;102. sz. főút;;
852;1;11;11 sz. főút: M0 körgyűrű, Budakalász - felhajtó Esztergom kelet felé;;
852;1;12;11 sz. főút: M0 körgyűrű, Budakalász - lehajtó Budapest felől;;
852;1;13;11. kijárat;;
852;1;14;11. sz. főút;;
852;1;15;11. sz. főút: Budakalász/Lupa sziget - felhajtó Budapest felé;;
852;1;16;11. sz. főút: Budakalász/Lupa sziget - felhajtó Esztergom felé;;
852;1;17;11. sz. főút: Budakalász/Lupa sziget - lehajtó Budapest felől;;
852;1;18;11. sz. főút: Budakalász/Lupa sziget - lehajtó Esztergom felől;;
852;1;19;11. sz. főút: M0 körgyűrű, Budakalász - felhajtó Budapest felé;;
852;1;20;11. sz. főút: M0 körgyűrű, Budakalász - lehajtó Esztergom felől;;
852;1;21;1113. sz. út;;
852;1;22;11329. sz. út;;
852;1;23;1134. sz. út;;
852;1;24;12. kijárat;;
852;1;25;12. sz. főút;;
852;1;26;13. sz. főút;;
852;1;27;1301. sz. út;;
852;1;28;1302. sz. út;;
852;1;29;132. sz főút;;
852;1;30;14. kijárat;;
852;1;31;14. sz. főút;;
852;1;32;15. sz. főút;;
852;1;33;17. kijárat;;
852;1;34;2. sz. főút;;
852;1;35;2. sz. főút: Drégelypalánk kelet;;
852;1;36;21 sz. főút: Apc/Szarvasgede - felhajtó Hatvan felé;;
852;1;37;21 sz. főút: Apc/Szarvasgede - felhajtó Somoskőújfalu felé;;
852;1;38;21 sz. főút: Apc/Szarvasgede - lehajtó Hatvan felől;;
852;1;39;21 sz. főút: Apc/Szarvasgede - lehajtó Somoskőújfalu felől;;
852;1;40;21 sz. főút: Sámsonházai elágazás - felhajtó Hatvan felé;;
852;1;41;21 sz. főút: Sámsonházai elágazás - felhajtó Somoskőújfalu felé;;
852;1;42;21 sz. főút: Sámsonházai elágazás - lehajtó Hatvan felől;;
852;1;43;21 sz. főút: Sámsonházai elágazás - lehajtó Somoskőújfalu felől;;
852;1;44;21. sz. főút;;
852;1;45;21. sz. főút Lőrinci csomópont;;
852;1;46;21. sz. főút: Csécse - felhajtó Hatvan felé;;
852;1;47;21. sz. főút: Csécse - felhajtó Somoskőújfalu országhatár felé;;
852;1;48;21. sz. főút: Csécse - lehajtó Hatvan felől;;
852;1;49;21. sz. főút: Csécse - lehajtó Somoskőújfalu országhatár felől;;
852;1;50;21. sz. főút: Lőrinc - felhajtó Hatvan felé;;
852;1;51;21. sz. főút: Lőrinc - felhajtó Somoskőújfalu országhatár felé;;
852;1;52;21. sz. főút: Lőrinc - lehajtó Hatvan felől;;
852;1;53;21. sz. főút: Lőrinc - lehajtó Somoskőújfalu országhatár felől;;
852;1;54;21. sz. főút: Nagygombosi bekötő út - felhajtó Hatvan felé;;
852;1;55;21. sz. főút: Nagygombosi bekötő út - felhajtó Somoskőújfalu felé;;
852;1;56;21. sz. főút: Nagygombosi bekötő út - lehajtó Hatvan felől;;
852;1;57;21. sz. főút: Nagygombosi bekötő út - lehajtó Somoskőújfalu felől;;
