CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
852;3;6138;;6139
852;3;6139;6138;
852;3;6054;;6055
852;3;6055;6054;
852;3;20809;;20810
852;3;20810;20809;20811
852;3;20811;20810;20812
852;3;20812;20811;20813
852;3;20813;20812;20814
852;3;20814;20813;20815
852;3;20815;20814;20816
852;3;20816;20815;20817
852;3;20817;20816;
852;3;4408;;
852;3;5550;;
852;3;6447;;3473
852;3;3473;6447;3474
852;3;3474;3473;3475
852;3;3475;3474;3476
852;3;3476;3475;3477
852;3;3477;3476;
852;3;3238;;3237
852;3;3237;3238;
852;3;6020;;6021
852;3;6021;6020;6023
852;3;6023;6021;6022
852;3;6022;6023;
852;3;3225;;22645
852;3;22645;3225;22646
852;3;22646;22645;22647
852;3;22647;22646;22648
852;3;22648;22647;
852;3;3240;;3211
852;3;3211;3240;3517
852;3;3517;3211;
852;3;6513;;6514
852;3;6514;6513;
852;3;30588;;30589
852;3;30589;30588;30590
852;3;30590;30589;30591
852;3;30591;30590;30592
852;3;30592;30591;
852;3;29722;;29723
852;3;29723;29722;29724
852;3;29724;29723;29725
852;3;29725;29724;29726
852;3;29726;29725;29727
852;3;29727;29726;29728
852;3;29728;29727;29729
852;3;29729;29728;29730
852;3;29730;29729;29731
852;3;29731;29730;
852;3;24037;;24038
852;3;24038;24037;24039
852;3;24039;24038;24040
852;3;24040;24039;24041
852;3;24041;24040;24042
852;3;24042;24041;24043
852;3;24043;24042;24044
852;3;24044;24043;24045
852;3;24045;24044;24046
852;3;24046;24045;24047
852;3;24047;24046;24048
852;3;24048;24047;24049
852;3;24049;24048;24050
852;3;24050;24049;24051
852;3;24051;24050;
852;3;28521;;28522
852;3;28522;28521;
852;3;31346;;31347
852;3;31347;31346;31348
852;3;31348;31347;
852;3;29685;;29686
852;3;29686;29685;29687
852;3;29687;29686;29688
852;3;29688;29687;29689
852;3;29689;29688;29690
852;3;29690;29689;29691
852;3;29691;29690;
852;3;30515;;30516
852;3;30516;30515;30517
852;3;30517;30516;30518
852;3;30518;30517;30519
852;3;30519;30518;30520
852;3;30520;30519;30521
852;3;30521;30520;30522
852;3;30522;30521;30523
852;3;30523;30522;30524
852;3;30524;30523;30525
852;3;30525;30524;30526
852;3;30526;30525;
852;3;3371;;25250
852;3;25250;3371;25251
852;3;25251;25250;25252
852;3;25252;25251;25253
852;3;25253;25252;25254
852;3;25254;25253;
852;3;6524;;6525
852;3;6525;6524;
852;3;6797;;
852;3;3249;;3250
852;3;3250;3249;
852;3;3243;;3244
852;3;3244;3243;
852;3;6043;;26936
852;3;26936;6043;26937
852;3;26937;26936;26938
852;3;26938;26937;26939
852;3;26939;26938;6042
852;3;6042;26939;
852;3;25635;;25636
852;3;25636;25635;
