CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;6138;P;1;12;;;14;;63;;;6137;1;1;1;1;1;1;;;+01871379;+4777063;;0;
852;3;6139;P;3;17;;;2807;;63;;;6137;1;1;1;1;1;1;;;+01870740;+4777451;;0;
852;3;6054;P;1;12;;;25;;512;;;6053;1;1;1;1;1;1;;;+01886130;+4782200;;0;
852;3;6055;P;3;17;;;10891;;512;;;6053;1;1;1;1;1;1;;;+01886197;+4781555;;0;
852;3;20809;P;1;15;;;72;;803;;;50115;1;1;1;1;1;1;;;+01967660;+4784990;;0;
852;3;20810;P;1;12;;;10992;;803;;;50115;1;1;1;1;1;1;;;+01969560;+4785190;;0;
852;3;20811;P;1;12;;;10991;;803;;;50115;1;1;1;1;1;1;;;+01969840;+4784900;;0;
852;3;20812;P;1;12;;;3420;;562;;;50115;1;1;1;1;1;1;;;+01979410;+4781350;;0;
852;3;20813;P;1;12;;;3426;;637;;;50115;1;1;1;1;1;1;;;+01984180;+4780390;;0;
852;3;20814;P;1;12;;;3425;;637;;;50115;1;1;1;1;1;1;;;+01987270;+4779820;;0;
852;3;20815;P;1;12;;;3411;;52;;;50115;1;1;1;1;1;1;;;+01991280;+4779050;;0;
852;3;20816;P;1;12;;;3404;;52;;;50115;1;1;1;1;1;1;;;+01992500;+4778580;;0;
852;3;20817;P;1;11;;;3407;;52;;;50115;1;1;1;1;1;1;;;+01993110;+4778470;;0;
852;3;4408;P;4;0;;;6391;;24;;;4407;;;;;;;;;+02155066;+4755157;;0;
852;3;5550;P;4;0;;;6392;;24;;;5549;;;;;;;;;+02155304;+4755113;;0;
852;3;6447;P;1;8;;;2932;165;29;;;3472;1;1;1;1;1;1;;;+02167023;+4798734;;0;
852;3;3473;P;1;8;;;160;;29;;;3472;1;1;1;1;1;1;;;+02165565;+4795695;;0;
852;3;3474;P;1;8;;;4046;;29;;;3472;1;1;1;1;1;1;;;+02165158;+4794460;;0;
852;3;3475;P;1;12;;;9510;;29;;;3472;1;1;1;1;1;1;;;+02164491;+4792870;;0;
852;3;3476;P;1;8;;;147;;29;;;3472;1;1;1;1;1;1;;;+02164654;+4791770;;0;
852;3;3477;P;1;3;;;6062;;29;;;3472;1;1;1;1;1;1;;;+02164274;+4790062;;0;
852;3;3238;P;1;12;;;175;;656;;;3236;1;1;1;1;1;1;;;+02209350;+4826160;;0;
852;3;3237;P;1;12;;;170;;732;;;3236;1;1;1;1;1;1;;;+02207469;+4825658;;0;
852;3;6020;P;1;8;;5010;175;;99;;;6019;1;1;1;1;1;1;;;+02205210;+4820739;;0;
852;3;6021;P;1;8;;5010;907;;99;;;6019;1;1;1;1;1;1;;;+02206682;+4820250;;0;
852;3;6023;P;1;8;;5010;4048;;99;;;6019;1;1;1;1;1;1;;;+02207688;+4820042;;0;
852;3;6022;P;1;8;;5010;5016;197;99;;;6019;1;1;1;1;1;1;;;+02209227;+4820140;;0;
852;3;3225;P;1;12;;;203;;656;;;3224;1;1;1;1;1;1;;;+02211051;+4825843;;0;
852;3;22645;P;1;12;;;2961;;656;;;3224;1;1;1;1;1;1;;;+02209930;+4826410;;0;
852;3;22646;P;1;12;;;2962;;656;;;3224;1;1;1;1;1;1;;;+02210060;+4826840;;0;
