CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV;RDID
852;3;6137;L;1;4;11329;;14;2807;63;;
852;3;6053;L;1;4;12127;;25;10891;512;;
852;3;50115;L;1;3;2406;;72;3407;2;;
852;3;4407;L;7;0;;;142;2271;24;;
852;3;5549;L;7;0;;;142;6039;24;;
852;3;3472;L;1;2;338;;160;6039;29;;
852;3;3236;L;1;3;3839;;175;170;17;;
852;3;6019;L;1;3;4153;5010;175;5012;99;;
852;3;3224;L;1;3;4152;;203;204;17;;
852;3;3239;L;1;3;4147;;203;12289;17;;
852;3;6512;L;1;3;44434;;213;6674;1692;;
852;3;51872;L;5;0;;8872;271;3345;2;;
852;3;51647;L;5;0;;4008;276;1764;2;;
852;3;50630;L;1;3;5101;;276;4907;15;;
852;3;51345;L;5;0;;272;292;293;23;;
852;3;52075;L;5;0;;11619;293;4214;3186;;
852;3;51638;L;5;0;;3969;315;1764;23;;
852;3;51857;L;5;0;;8540;315;11599;3198;;
852;3;50801;L;1;3;6213;;336;9113;9;;
852;3;6523;L;1;3;70500;;10122;7294;723;;
852;3;6796;L;7;0;;;397;1787;1101;;
852;3;3248;L;1;4;80626;;401;481;21;;
852;3;3242;L;1;3;8532;;533;9471;722;;
852;3;6041;L;1;3;7429;;540;541;456;;
852;3;50883;L;1;3;6611;;570;8977;4;;
852;3;50124;L;1;3;2416;;575;2616;12;;
852;3;50329;L;1;3;3714;;582;1662;7;;
852;3;51230;L;1;2;85;;589;8316;10;;
852;3;50561;L;1;3;4611;;593;8437;15;;
852;3;50565;L;1;3;4616;;597;5218;15;;
852;3;6284;L;7;0;;;3691;598;33;;
852;3;6280;L;7;0;;;598;12288;33;;
852;3;50563;L;1;3;4612;;599;11597;2;;
852;3;50215;L;1;3;3122;;603;11713;2;;
852;3;50989;L;1;3;7346;;607;12427;21;;
852;3;51129;L;1;3;8151;;612;921;13;;
852;3;51131;L;1;3;8153;;614;615;215;;
852;3;51293;L;1;3;8636;;618;5241;20;;
852;3;51294;L;1;3;8637;;620;1844;20;;
852;3;50227;L;1;3;3210;;628;627;12;;
852;3;6201;L;1;4;51315;;634;635;401;;
852;3;5081;L;7;0;;;634;1806;401;;
852;3;4501;L;7;0;;;634;4099;401;;
852;3;50796;L;1;3;6207;;636;9611;9;;
852;3;50797;L;1;3;6208;;638;642;9;;
852;3;51901;L;5;0;;9385;647;8649;23;;
852;3;51409;L;5;0;;1309;647;11748;3195;;
852;3;51718;L;5;0;;4823;647;11748;3195;;
852;3;51398;L;5;0;;1283;647;12315;3195;;
852;3;5173;L;7;0;;;651;1806;31;;
852;3;4595;L;7;0;;;651;5480;31;;
852;3;50800;L;1;3;6212;;652;650;9;;
852;3;51246;L;1;3;8517;;661;662;10;;
852;3;50983;L;1;3;7339;;671;2355;21;;
852;3;50958;L;1;3;7309;;674;12143;21;;
852;3;50963;L;1;3;7315;;676;8730;21;;
852;3;4171;L;7;0;;;688;1772;91;;
852;3;4737;L;7;0;;;688;1787;91;;
852;3;51354;L;5;0;;690;691;1928;3177;;
852;3;50807;L;1;3;6223;;695;694;9;;
852;3;6680;L;7;0;;;698;1806;148;;
852;3;6686;L;7;0;;;698;8412;148;;
852;3;50559;L;1;3;4607;;700;8994;15;;
852;3;50379;L;1;2;405;;6488;6847;15;;
852;3;51357;L;5;0;;706;705;4673;3186;;
852;3;51356;L;5;0;;705;706;2861;3186;;
852;3;51533;L;5;0;;2860;706;2861;3186;;
852;3;51234;L;1;3;8505;;710;708;10;;
852;3;51473;L;5;0;;2200;721;833;3188;;
852;3;51463;L;5;0;;2060;724;9472;3197;;
852;3;52071;L;5;0;;11583;738;8296;3178;;
852;3;52091;L;5;0;;11832;744;1283;3196;;
852;3;52066;L;5;0;;11559;744;3678;23;;
852;3;50727;L;1;3;5602;;750;751;19;;
852;3;50650;L;1;3;5201;;757;2521;15;;
852;3;50566;L;1;3;4617;;759;753;15;;
852;3;50993;L;1;3;7354;;764;719;22;;
852;3;50642;L;1;3;5115;;769;768;1698;;
852;3;50947;L;1;3;7219;;772;2181;21;;
852;3;50990;L;1;3;7351;;774;12358;22;;
852;3;50387;L;1;3;4105;;800;1053;17;;
852;3;50847;L;1;3;6514;;802;5416;16;;
852;3;52053;L;5;0;;11273;804;3539;3187;;
852;3;6648;L;7;0;;;805;2608;590;;
852;3;6642;L;7;0;;;805;6039;590;;
852;3;51395;L;5;0;;1246;809;1287;3198;;
852;3;51965;L;5;0;;10140;810;3348;23;;
852;3;4149;L;7;0;;;811;1772;149;;
852;3;4715;L;7;0;;;811;1787;149;;
852;3;5001;L;7;0;;;823;6746;451;;
852;3;4423;L;7;0;;;823;8454;451;;
852;3;51438;L;5;0;;1742;833;8337;3188;;
852;3;51974;L;5;0;;10309;833;8953;3188;;
852;3;51459;L;5;0;;1980;839;11223;3180;;
852;3;51940;L;5;0;;9776;845;11200;3198;;
852;3;51920;L;5;0;;9597;846;11772;3179;;
852;3;51769;L;5;0;;5418;847;286;3193;;
852;3;51551;L;5;0;;3019;847;10539;3193;;
852;3;50316;L;1;2;37;;2951;10056;7;;
852;3;52125;L;5;0;;12266;860;2977;3193;;
852;3;51488;L;5;0;;2365;860;8572;3193;;
852;3;52016;L;5;0;;10787;861;3655;23;;
852;3;51552;L;5;0;;3022;862;10714;3179;;
852;3;52022;L;5;0;;10857;865;8865;23;;
852;3;51469;L;5;0;;2123;867;7707;2;;
852;3;50523;L;1;3;4448;;868;8474;2;;
852;3;50876;L;1;3;6603;;870;9778;27;;
852;3;50719;L;1;3;5509;;876;2831;2;;
852;3;50068;L;1;3;2109;;888;10487;2;;
852;3;50955;L;1;3;7307;;894;12146;21;;
852;3;50221;L;1;3;3204;;905;3823;12;;
852;3;51477;L;5;0;;2219;908;9713;3179;;
852;3;50728;L;1;3;5603;;6926;1686;19;;
852;3;50811;L;1;3;6233;;7017;5083;19;;
852;3;50793;L;1;3;6209;;6989;4343;9;;
852;3;4295;L;7;0;;;915;11961;60;;
852;3;50909;L;1;3;6807;;918;8276;16;;
852;3;4797;L;7;0;;;920;1806;215;;
852;3;4227;L;7;0;;;920;3719;215;;
852;3;51128;L;1;3;8149;;923;922;388;;
852;3;50964;L;1;3;7316;;951;12133;21;;
852;3;50987;L;1;3;7344;;955;12426;21;;
852;3;50984;L;1;3;7341;;958;8598;21;;
852;3;4873;L;7;0;;;963;1806;385;;
852;3;4299;L;7;0;;;963;11961;385;;
852;3;51032;L;1;3;7421;;967;8620;22;;
852;3;51194;L;1;3;8423;;974;975;10;;
852;3;51358;L;5;0;;721;976;5288;23;;
852;3;50635;L;1;2;511;;983;987;48;;
852;3;50720;L;1;2;551;;984;982;48;;
852;3;50716;L;1;3;5506;;988;993;5;;
852;3;4161;L;7;0;;;989;1772;3199;;
852;3;4727;L;7;0;;;989;1787;3199;;
852;3;51368;L;5;0;;808;995;2457;23;;
852;3;51907;L;5;0;;9482;995;2457;3182;;
852;3;51870;L;5;0;;8854;995;11808;23;;
852;3;50029;L;1;3;1122;;1002;7789;13;;
852;3;52029;L;5;0;;10962;1004;2457;23;;
852;3;51022;L;1;3;7410;;1005;12320;22;;
852;3;50447;L;1;3;4224;;1013;12481;11;;
852;3;51140;L;1;3;8208;;1019;1020;2;;
852;3;51157;L;1;3;8227;;1041;625;13;;
852;3;50761;L;1;3;5802;;1050;10366;4;;
852;3;50175;L;1;3;2623;;1052;585;7;;
852;3;50067;L;1;3;2108;;1062;887;2;;
852;3;50097;L;1;3;222;;1064;3684;94;;
852;3;50076;L;1;3;2119;;1065;8984;14;;
852;3;5047;L;7;0;;;1066;1806;408;;
852;3;4469;L;7;0;;;1066;9851;408;;
852;3;50698;L;1;3;5422;;1068;3054;8;;
852;3;50787;L;1;2;61;;1070;8398;2;;
852;3;50956;L;1;3;7338;;1071;1186;21;;
852;3;50930;L;1;2;710;;1074;7107;21;;
852;3;51342;L;1;3;7116;;1076;1077;2;;
852;3;50946;L;1;3;7218;;1080;2928;21;;
852;3;5211;L;7;0;;;1085;1806;256;;
852;3;4633;L;7;0;;;1085;5480;256;;
852;3;50982;L;1;3;7337;;1101;3306;2;;
